class,food,value,recommended,unit,column
High income,Calcium,0.7317876,1.25,g,1
Low income,Calcium,0.2411854,1.25,g,1
Lower-middle,Calcium,0.3112962,1.25,g,1
Upper-middle,Calcium,0.4771583,1.25,g,1
High income,Eggs,29.86241,13,g,1
Low income,Eggs,3.084508,13,g,1
Lower-middle,Eggs,8.020233,13,g,1
Upper-middle,Eggs,27.60893,13,g,1
High income,Fish,33.90946,28,g,1
Low income,Fish,8.505417,28,g,1
Lower-middle,Fish,21.25532,28,g,1
Upper-middle,Fish,29.92876,28,g,1
High income,Fruit,115.4271,250,g,1
Low income,Fruit,58.95675,250,g,1
Lower-middle,Fruit,84.47831,250,g,1
Upper-middle,Fruit,121.7153,250,g,1
High income,Legumes,23.07048,60,g,1
Low income,Legumes,72.97813,60,g,1
Lower-middle,Legumes,72.15932,60,g,1
Upper-middle,Legumes,27.87334,60,g,1
High income,Milk,137.8951,435,g,1
Low income,Milk,23.01498,435,g,1
Lower-middle,Milk,39.72204,435,g,1
Upper-middle,Milk,43.77263,435,g,1
High income,Nuts,5.151486,20.5,g,1
Low income,Nuts,1.399405,20.5,g,1
Lower-middle,Nuts,2.078798,20.5,g,1
Upper-middle,Nuts,2.114634,20.5,g,1
High income,Omega 3,0.3169306,0.25,g,1
Low income,Omega 3,0.0141357,0.25,g,1
Lower-middle,Omega 3,0.0234596,0.25,g,1
Upper-middle,Omega 3,0.0551125,0.25,g,1
High income,Polyunsaturated Fat,6.65308,11,%,2
Low income,Polyunsaturated Fat,3.66882,11,%,2
Lower-middle,Polyunsaturated Fat,2.73304,11,%,2
Upper-middle,Polyunsaturated Fat,6.30166,11,%,2
High income,Poultry,36.30967,29,g,1
Low income,Poultry,2.486023,29,g,1
Lower-middle,Poultry,6.648867,29,g,1
Upper-middle,Poultry,21.83395,29,g,1
High income,Processed Meat,10.51497,2,g,1
Low income,Processed Meat,0.5288697,2,g,1
Lower-middle,Processed Meat,0.9526622,2,g,1
Upper-middle,Processed Meat,2.099746,2,g,1
High income,Red Meat,44.40853,22.5,g,1
Low income,Red Meat,7.83603,22.5,g,1
Lower-middle,Red Meat,7.768737,22.5,g,1
Upper-middle,Red Meat,37.2182,22.5,g,1
High income,Refined Grain,169.5309,107,g,2
Low income,Refined Grain,109.2064,107,g,2
Lower-middle,Refined Grain,126.522,107,g,2
Upper-middle,Refined Grain,112.4891,107,g,2
High income,Saturated Fat,8.95878,7,%,2
Low income,Saturated Fat,6.44405,7,%,2
Lower-middle,Saturated Fat,6.67246,7,%,2
Upper-middle,Saturated Fat,7.35875,7,%,2
High income,Sodium,4.469424,2,g,2
Low income,Sodium,3.066931,2,g,2
Lower-middle,Sodium,4.438446,2,g,2
Upper-middle,Sodium,5.641127,2,g,2
High income,SSB,66.96632,2.5,g,2
Low income,SSB,5.503978,2.5,g,2
Lower-middle,SSB,11.57281,2.5,g,2
Upper-middle,SSB,40.88568,2.5,g,2
High income,Starchy Veg,102.1515,360,g,2
Low income,Starchy Veg,255.9653,360,g,2
Lower-middle,Starchy Veg,116.2202,360,g,2
Upper-middle,Starchy Veg,140.068,360,g,2
High income,Total Dairy,303.6439,250,g,2
Low income,Total Dairy,39.10873,250,g,2
Lower-middle,Total Dairy,71.95963,250,g,2
Upper-middle,Total Dairy,103.6706,250,g,2
High income,Total Sugar,78.78259,31,g,2
Low income,Total Sugar,23.76211,31,g,2
Lower-middle,Total Sugar,46.77402,31,g,2
Upper-middle,Total Sugar,51.17641,31,g,2
High income,Trans Fat,0.61174,0.5,%,2
Low income,Trans Fat,0.26803,0.5,%,2
Lower-middle,Trans Fat,0.61461,0.5,%,2
Upper-middle,Trans Fat,0.38128,0.5,%,2
High income,Veg,183.0241,360,g,2
Low income,Veg,71.24715,360,g,2
Lower-middle,Veg,173.7298,360,g,2
Upper-middle,Veg,236.4582,360,g,2
High income,Whole Grain,27.02119,125,g,2
Low income,Whole Grain,32.64598,125,g,2
Lower-middle,Whole Grain,78.16341,125,g,2
Upper-middle,Whole Grain,55.11339,125,g,2
