filename,country,year
DZH2011_Public_Use.sav,algeria,2011
BJH2009_Public_Use.sav,benin,2009
BWH2005_Public_Use.sav,botswana,2005
GHH2007_Public_Use.sav,ghana,2007
KEH2003_public_use.sav,kenya,2003
MWH2009_Public_Use.sav,malawi,2009
MJH2010_Public_Use.sav,mauritania,2010
MUBH2007_public_use.sav,mauritius,2007
MZH2015_Public_Use.sav,mozambique,2015
NBH2004_public_use.sav,namibia,2004
SGH2005_public_use.sav,senegal,2005
SHH2007_Public_Use.sav,seychelles,2007
SZH2003_public_use.sav,swaziland,2003
UGH2003_public_use.sav,uganda,2003
TZAH2006_public_use.sav,tanzania,2006
ZMH2004_public_use.sav,zambia,2004
ZWAH2003_public_use.sav,zimbabwe,2003
AIH2009_Public_Use.sav,anguilla,2009
ANH2009_Public_Use.sav,antiguabarbuda,2009
AGH2007_Public_Use.sav,argentina,2007
BBH2011_Public_Use.sav,barbados,2011
BZH2011_Public_Use.sav,belize,2011
BLH2012_Public_Use.sav,bolivia,2012
VGH2009_Public_Use.sav,bvi,2009
CYH2007_Public_Use.sav,cayman_islands,2007
CLAH2004_public_use.sav,chile,2004
CBGH2007_Public_Use.sav,colombia,2007
CRH2009_Public_Use.sav,costarica,2009
CWH2015_Public_Use.sav,curacao,2015
DOH2009_Public_Use.sav,dominica,2009
ECAH2007_public_use.sav,ecuador,2007
ESH2013_Public_Use.sav,elsalvador,2013
GDH2008_Public_Use.sav,grenada,2008
GTH2009_Public_Use.sav,guatemala,2009
GYH2004_public_use.sav,guyana,2004
HNH2012_Public_Use.sav,honduras,2012
JMH2010_Public_Use.sav,jamaica,2010
MBH2008_public_use.sav,montserrat,2008
PEH2010_Public_Use.sav,peru,2010
SKH2011_Public_Use.sav,stkitts,2011
LCH2007_Public_Use.sav,stlucia,2007
VCH2007_Public_Use.sav,stvincent,2007
SMH2009_Public_Use.sav,suriname,2009
TTH2007_Public_Use.sav,tandt,2007
UYH2006_Public_Use.sav,uruguay,2006
VEAH2003_public_use.sav,venezuela,2003
BDH2014_Public_Use.sav,bangladesh,2014
IIH2007_Public_Use.sav,india,2007
IOH2007_Public_Use.sav,indonesia,2007
MVH2009_Public_Use.sav,maldives,2009
SRH2008_public_use.sav,srilanka,2008
THH2008_public_use.sav,thailand,2008
TLH2015_Public_Use.sav,timorleste,2015
TJH2006_public_use.sav,tajikistan,2006
MKH2007_Public_Use.sav,macedonia,2007
AFH2014_Public_Use.sav,afghanistan,2014
EGH2006_public_use.sav,egypt,2006
DJH2007_Public_Use.sav,djibouti,2007
IQH2012_Public_Use.sav,iraq,2012
JOH2004_public_use.sav,jordan,2004
KWH2011_Public_Use.sav,kuwait,2011
LBH2005_public_use.sav,lebanon,2005
LYH2007_Public_Use.sav,libya,2007
MRH2006_public_use.sav,morocco,2006
PLAH2010_Public_Use.sav,palestine,2010
OMH2005_public_use.sav,oman,2005
PKH2009_Public_Use.sav,pakistan,2009
QAH2011_Public_Use.sav,qatar,2011
SNH2012_Public_Use.sav,sudan,2012
SYH2010_Public_Use.sav,syria,2010
TUH2008_public_use.sav,tunisia,2008
AEH2010_Public_Use.sav,uae,2010
YEH200_public_use.sav,yemen,2008
BUH2014_Public_Use.sav,brunei,2014
KHH2013_Public_Use.sav,cambodia,2013
CNAH2003_public_use.sav,china,2003
CSH2011_Public_Use.sav,cookislands,2011
FJH2010_Public_Use.sav,fiji,2010
KIH2011_Public_Use.sav,kiribati,2011
LSH2015_Public_Use.sav,laos,2015
YSH2012_Public_Use.sav,malaysia,2012
MGH2010_Public_Use.sav,mongolia,2010
NRH2011_Public_Use.sav,nauru,2011
NUH2010_Public_Use.sav,niue,2010
PIH2003_public_use.sav,philippines,2003
WSH2011_Public_Use.sav,samoa,2011
SIH2011_Public_Use.sav,solomon,2011
TKH2014_Public_Use.sav,tokelau,2014
TOH2010_Public_Use.sav,tonga,2010
TVH2013_Public_Use.sav,tuvalu,2013
VUH2011_Public_Use.sav,vanuatu,2011
VNH2013_Public_Use.sav,vietnam,2013
WFH2015_Public_Use.sav,wallisfutuna,2015
