region,subregion,n,mean.no.fruit,mean.daily.fruit,mean.no.veg,mean.daily.veg,mean.no.soda,mean.daily.soda,mean.no.fastfood,mean.daily.fastfood,mean.never.or.rarely.hungry,mean.always.or.mostly.hungry,mean.never.or.rarely.soap,mean.always.or.mostly.soap,mean.never.or.rarely.hand.wash.after.toilet,mean.always.or.mostly.hand.wash.after.toilet,mean.never.or.rarely.hand.wash.before.eating,mean.always.or.mostly.hand.wash.before.eating
Asia + Pacific,South Asia,6,0.0719090308391778,0.6782324987582135,0.021120939202359027,0.8712719465821336,0.2922801775588839,0.4102138752218481,0.6115159663949183,0.01896505570319473,0.7816050336479398,0.054564427023309395,0.1174760357786918,0.7475571052924984,0.032989925821311876,0.939177848336703,0.05411641776817481,0.8882326164616566
West Asia,Arabian Peninsula,5,0.21187517977772943,0.5144007748585087,0.1701266402058212,0.580654826294914,0.11013291449156881,0.5718863648691251,0.21901196362461686,0.0696554842535624,0.6916073731235431,0.1329050031375351,0.19416141501331816,0.5599945477843302,0.1326155216938907,0.7623345719755745,0.09328520279866682,0.836619184573696
Latin America + Caribbean,South America,10,0.09810011969175918,0.6611659134413,0.08745258217679434,0.7155556221045246,0.1222669608591147,0.5674590933309482,0.47462100769443993,0.008013296917090804,0.8598646505709211,0.034542547540331967,0.07399609580890167,0.7821720842551672,0.0573459125367019,0.8591575336497682,0.0828933380430701,0.7774624511113943
Latin America + Caribbean,Caribbean,11,0.10926921367684916,0.6972020368203193,0.13339288231952476,0.670884720223277,0.13705417264443584,0.6984380043326127,0.40601117212527865,0.04733037357679566,0.5987856152147507,0.10373977301617202,0.08894352232965082,0.7103342271868779,0.04125382353627643,0.8978849885218795,0.1217069115922501,0.6200370574116494
Africa,Western Africa,4,0.13322930895954685,0.6492491211076764,0.1037590966828003,0.7137716109715005,0.4001212369180809,0.33614218913690946,0.48315623314450173,0.05322950329953089,0.5221569661247019,0.1789892464557358,0.15979088254457247,0.6122500291455956,0.13199570524931092,0.7420982377490283,0.0856243287802219,0.8204717951028341
Latin America + Caribbean,Meso America,5,0.10665922686750537,0.7030740458928877,0.08927124512712886,0.731116114877168,0.11167305892645416,0.610599477622097,0.4892174128864496,0.02051228799581216,0.8675845972825207,0.029387545012976184,0.18766487383746003,0.6752253766370138,0.03938834288603411,0.9212654324986005,0.06102355137187474,0.8255985335080103
Asia + Pacific,South East Asia,10,0.06273187473914392,0.6967528969591039,0.03039588241651176,0.8400752455149766,0.2293417308722825,0.328078542693977,0.6627452008068306,0.014221813252265554,0.6581992125534216,0.049389189041863756,0.07859070834159253,0.6862256065253385,0.03173370782170055,0.8854081119832943,0.05025571669223254,0.7787135539132151
Africa,Southern Africa,8,0.12730977017331627,0.7282835252918208,0.076433345771465,0.7749357172359792,0.1617420876119498,0.5681454450888043,0.39286444430036893,0.05515366705997522,0.6561376683053454,0.11545179122349135,0.14878669767061337,0.6241749334706578,0.08646793532721404,0.8260599830760865,0.06214928115025764,0.8796642621913823
Asia + Pacific,North East Asia,1,0.03330580905899715,0.7370461367124925,0.005488451606252289,0.9352501956929601,NaN,NaN,NaN,NaN,0.8659707749139652,0.0226348572766573,0.07373656728238463,0.7547967624435054,0.03184444419612528,0.8948141001501685,0.029035168013082667,0.8692848887699037
Africa,Eastern Africa,3,0.14352134941666667,0.6638913538469685,0.11661608379915493,0.7342323857399139,NaN,NaN,NaN,NaN,0.5395885596356369,0.12439074959863242,0.15180695056252258,0.5250296932808547,0.11508082430992238,0.7345642265952903,0.07489027196750406,0.8166441514498353
Africa,Northern Africa,6,0.09081805595722034,0.7018210470602954,0.05203804149481336,0.8238153696952303,0.23586944490953665,0.5352491547025516,0.5513553268156405,0.030910152605028645,0.7466747666107602,0.07667445187173437,0.12694548179008489,0.7223637858378064,0.09351831152983103,0.8183926047846664,0.08295789916062643,0.7980304682149106
West Asia,Mashriq,5,0.0628393123948174,0.6892347321917206,0.04581757115677718,0.7313602364200487,0.1630077122259296,0.45812026004126105,0.49327037402545687,0.028782222116617524,0.7705904714964377,0.09553180242907282,0.05508242479100679,0.8739632792172327,0.06763086086606403,0.8900851475356193,0.07653148858659731,0.8334126965764037
Europe,Central Europe,1,0.033295199717643664,0.8373015612269628,0.0424007257955917,0.8041344134824946,NaN,NaN,NaN,NaN,0.9468936169630296,0.018801670609114633,0.03992755318267056,0.8818192461341688,0.02162111616282971,0.9458501309242413,0.02183132073358668,0.9359731159702065
Africa,Western Indian Ocean,2,0.06211448570088926,0.7947762694451423,0.07147055025585153,0.8018571776920023,NaN,NaN,NaN,NaN,0.6066121039759506,0.15620891725457178,NaN,NaN,NaN,NaN,NaN,NaN
