country,year,no.fruit,daily.fruit,no.veg,daily.veg,no.soda,daily.soda
algeria,2011,0.046292297077367955,0.8230354163571386,0.02364934329486134,0.9179334042710885,0.07336059423380303,0.7688891743746843
benin,2009,0.10963286315724777,0.575370331846842,0.0949716624559665,0.6413981828805534,0.4488823172827591,0.27989267144860763
botswana,2005,0.15641372642736437,0.7042884733344312,0.10407882941214795,0.7731874886819171,NA,NA
ghana,2007,0.13301845287103828,0.7342748029230713,0.11589939908019331,0.7461080530390036,NA,NA
kenya,2003,0.13550734306568885,0.6629869155028839,0.04569493048220329,0.8267435169893635,NA,NA
malawi,2009,0.13438544421565726,0.7767683748880543,0.03902753510153041,0.875230222549977,NA,NA
mauritania,2010,0.21166841679067783,0.5627964297165932,0.16256282216679457,0.6563082309204303,0.25403880063360945,0.5046590989813826
mauritius,2007,NA,NA,NA,NA,NA,NA
mozambique,2015,0.11888424805197235,0.6759094243368275,0.08951074717955236,0.6776051567764575,0.1617420876119498,0.5681454450888043
namibia,2004,NA,NA,NA,NA,NA,NA
senegal,2005,0.1315825972933775,0.5653513128416269,0.07148252394588946,0.7236225735669127,NA,NA
seychelles,2007,0.06211448570088926,0.7947762694451423,0.07147055025585153,0.8018571776920023,NA,NA
swaziland,2003,0.09533502338169916,0.7313170292345822,0.05899586448422253,0.7792734277154185,NA,NA
uganda,2003,0.15360900649035825,0.6652512743597998,0.20777304131951932,0.6194913456878443,NA,NA
tanzania,2006,0.1216065429961373,0.7668764761113661,0.07132632885935039,0.8083722861610916,NA,NA
zambia,2004,0.154711807037627,0.6559597580635894,0.11130794993453089,0.7482697025134334,NA,NA
zimbabwe,2003,NA,NA,NA,NA,NA,NA
anguilla,2009,0.1391234288141328,0.6344584874831287,0.1492172778014825,0.6623703363327896,0.15694767195706857,0.5903202427845768
antiguabarbuda,2009,0.10461629103466104,0.678894084172938,0.08928877939601403,0.743177451619839,0.13969158389800554,0.5814630009044692
argentina,2007,0.13389659245436072,0.606530495929771,0.09840991265729306,0.7109035662417474,NA,NA
barbados,2011,0.15872324738688273,0.5478227116902314,0.14615110535414866,0.606459398998584,0.07490401160109748,0.7359114361080565
belize,2011,0.10317142943948042,0.7145191257692715,0.1031801810836083,0.7414520637748504,0.12521311368360719,0.6359087771224506
bolivia,2012,0.09834809794461437,0.7043482003729914,0.0543175308142916,0.806676602050746,0.11214240187333259,0.6287305343741552
bvi,2009,0.16394673690169076,0.5749770686231935,0.11862514570047684,0.6549089270402132,0.1234998378116609,0.6426107195246086
cayman_islands,2007,0.10924986641167703,0.6008700818404252,0.1558288632391163,0.5887817566669716,NA,NA
chile,2004,0.06025709500544433,0.751079950066292,0.044256521534223756,0.8405529928303778,NA,NA
