country,iso3,m49,region_code,region_name,sub_region_code,sub_region_name,ldc,lldc,sids,1
Algeria,DZA,12,2,Africa,15,Northern Africa,,,,0
Egypt,EGY,818,2,Africa,15,Northern Africa,,,,0
Libya,LBY,434,2,Africa,15,Northern Africa,,,,0
Morocco,MAR,504,2,Africa,15,Northern Africa,,,,0
Sudan,SDN,729,2,Africa,15,Northern Africa,1,,,0
Tunisia,TUN,788,2,Africa,15,Northern Africa,,,,0
Western Sahara,ESH,732,2,Africa,15,Northern Africa,,,,0
British Indian Ocean Territory,IOT,86,2,Africa,202,Sub-Saharan Africa,,,,0
Burundi,BDI,108,2,Africa,202,Sub-Saharan Africa,1,1,,0
Comoros,COM,174,2,Africa,202,Sub-Saharan Africa,1,,1,0
Djibouti,DJI,262,2,Africa,202,Sub-Saharan Africa,1,,,0
Eritrea,ERI,232,2,Africa,202,Sub-Saharan Africa,1,,,0
Ethiopia,ETH,231,2,Africa,202,Sub-Saharan Africa,1,1,,0
French Southern Territories,ATF,260,2,Africa,202,Sub-Saharan Africa,,,,0
Kenya,KEN,404,2,Africa,202,Sub-Saharan Africa,,,,0
Madagascar,MDG,450,2,Africa,202,Sub-Saharan Africa,1,,,0
Malawi,MWI,454,2,Africa,202,Sub-Saharan Africa,1,1,,0
Mauritius,MUS,480,2,Africa,202,Sub-Saharan Africa,,,1,0
Mayotte,MYT,175,2,Africa,202,Sub-Saharan Africa,,,,0
Mozambique,MOZ,508,2,Africa,202,Sub-Saharan Africa,1,,,0
Réunion,REU,638,2,Africa,202,Sub-Saharan Africa,,,,0
Rwanda,RWA,646,2,Africa,202,Sub-Saharan Africa,1,1,,0
Seychelles,SYC,690,2,Africa,202,Sub-Saharan Africa,,,1,0
Somalia,SOM,706,2,Africa,202,Sub-Saharan Africa,1,,,0
South Sudan,SSD,728,2,Africa,202,Sub-Saharan Africa,1,1,,0
Uganda,UGA,800,2,Africa,202,Sub-Saharan Africa,1,1,,0
United Republic of Tanzania,TZA,834,2,Africa,202,Sub-Saharan Africa,1,,,0
